ID,Is_Lead
3WPAHP52,0.49685836
HDTCJJOE,0.50900984
UCSB9GKK,0.061565675
HANBFYTH,0.11208785
FLUU2HNV,0.0518879
64PIYWDJ,0.18065502
9AHNH8ZX,0.86055005
KLHUI2SE,0.06627337
YRHYUJFW,0.84040964
G5RWWH7F,0.16437742
SCBT9BAX,0.02121142
UGZGLVNB,0.2639035
2RRNUFBV,0.8365767
B6O59TEY,0.4383183
CYHRRYH6,0.05487406
GGYZVHWU,0.06782986
K6AM97RN,0.06768046
ATM5JQYM,0.058702547
7GYZSGWA,0.051745266
DFWUDQCR,0.17209889
E2Z98CR3,0.85350144
GD9KTSLY,0.052407566
2AMRA4OD,0.10687697
CFHZ3ZE6,0.46205112
BOMLVM5K,0.052140992
OBBEGBSY,0.46967334
FJEHOK8W,0.043953277
3GMAEVPJ,0.108673856
WAVDLUTH,0.052117996
6EN8GZX6,0.102272436
VXGA3GKB,0.19192997
U4MZ3U8C,0.4819367
GU4RDP8S,0.84503675
N3TPNHCD,0.10083902
JRRHWQC8,0.5903282
NZ5GBHZK,0.04479654
LCUC2LAJ,0.83763635
DJDSU9D2,0.9843339
647K6DBR,0.05774342
7NFXVESK,0.070263036
EWUWF25N,0.05205089
7QKYPLA8,0.056622807
XQVXWBNO,0.052223403
CNWH4MVA,0.051776946
AFJUJFQD,0.07530044
QKMFDX9H,0.19261366
YYMB5QBY,0.06924836
IRY3SEX7,0.26068747
CUAUZJH8,0.16583776
JYFUYQF5,0.30934474
I4NYEDFE,0.5469958
M3RSPRGQ,0.13639128
JIL3KWQN,0.10582987
X4B5ZBWU,0.13914753
AHYTHHSE,0.05244077
E7EHQEQK,0.34710452
FAMHAVN3,0.8435627
CCGKCTR6,0.060798187
6DTSELRV,0.057746343
LU8X3G6O,0.2515023
NPFDAUJY,0.0521119
DR9PXCFU,0.023131028
SHVZMWBV,0.061958514
8TGXGZHX,0.20972629
IKRSHJFW,0.16208866
TYKRZDCP,0.49501172
9IDA3L7P,0.08893474
ASOWCMDB,0.051201604
KZ5J2JGC,0.8387896
D5UCFKTV,0.052005474
2N8FFP7W,0.045885116
SA36MTFS,0.028310295
8UDMURUH,0.111882046
7VSQV6QN,0.14456475
IFUG9NC5,0.052144196
EQXDLQRG,0.21118638
JAR8YY9J,0.091778174
BS4TAF6M,0.052263223
WQJ9SPT9,0.8158632
7QHT4ON2,0.055007342
FNGPQN7B,0.11319688
DDOMDZRU,0.5668867
QYR9HXHP,0.20358238
S4NGXFXY,0.022852419
NOJ2KSCC,0.83878756
ZD2JRUNB,0.46048462
GZIPTSNN,0.044313774
LCFYUVE9,0.83764064
PPANVU9W,0.051584814
DRPV9STB,0.06362747
AFSPF3WZ,0.9974234
GPXEUNND,0.85262084
NSADMDSM,0.057954352
CKWJU8RQ,0.497533
F7MNZSSU,0.052167043
BDGVMPZY,0.5286863
IA3MSRTR,0.07470749
JD3WTPMG,0.2951966
QT6DF6EW,0.8370276
NVDEMCZ2,0.056743093
9B6UTJVT,0.06547138
U6QYES9J,0.023372542
DZQPDSPS,0.14048223
CRGXVSBF,0.8658484
XIHJYS2V,0.59452057
7X2MC5GZ,0.8376794
ZBDVXTM5,0.051791858
UUBQPBR5,0.0642097
CUMZFBTD,0.09429982
E7QXYSQN,0.02205291
6UQAJP48,0.093034044
QHWB768Y,0.052161425
R6RXMXOJ,0.18566073
WXQGZG5K,0.04081018
GCUFKLHG,0.052345548
SJX4372M,0.05213103
VGEAMUZZ,0.100451596
ZWDXVKDF,0.84261835
WGMRCYLR,0.05208969
SI43K5CY,0.09891835
DSNBS2RS,0.17182735
XIMZCKSR,0.36337757
VEW9FXHT,0.021554893
JZJHDDDJ,0.4407418
4TYUR5HA,0.4316679
UHCDFDRX,0.2423705
E5QMOFUM,0.100607485
PSNVWDZH,0.053015873
5IQSWONG,0.057811894
CEAZEPY4,0.99687326
2TNRJXRX,0.022732563
BFROCARA,0.052270155
GRTJMRKM,0.02057078
6EDAM4EU,0.08574862
NRDB58KL,0.05060186
TCPJCWZR,0.041678954
KG8LD2BE,0.040992074
FHZ3XFDV,0.12074263
NZKCSDZ4,0.20686972
6DG6KJG4,0.052289456
BVPKDUNU,0.31867048
APR4PQ6X,0.04467639
HPWS8YFG,0.1088808
VRPBGTPU,0.055826344
XBCSX7G7,0.043937825
KEH3G8UA,0.15127687
WXNAVFLT,0.05055479
8J8NJ7M6,0.101527475
D4UW7Y85,0.05314235
SZRESXN7,0.05274851
UUQSXK5T,0.051771864
GPMUKOVY,0.37492472
6FYOKAZ5,0.16256294
ENUB4N9S,0.18987241
KERBCSGE,0.995705
7HTA4C6J,0.83848816
4BTVMT6W,0.05330804
MR3J9USD,0.25198895
7S83FNQW,0.59413445
MSOKLC7S,0.023256626
GFMNATHU,0.046502367
NG4ABA6H,0.9873234
3GFHRAQY,0.26587406
BCSGZZPE,0.12181403
PQ9MCGZC,0.0745584
K7N596CG,0.055707518
8RUL6JEE,0.06287344
CVOFJRMP,0.060717843
B4FQX4HG,0.046901237
W7HAQKDV,0.058877684
8C5PKJ7G,0.055790383
E4GQJZSQ,0.050484907
UENREGNV,0.8420254
CC4LYHEW,0.83462214
GDKGLTBT,0.066684164
G3ER8CGX,0.053387158
ZG4KT59X,0.02400335
LW93KJMZ,0.4694429
9AR5FBSQ,0.39241943
FHLWDMRV,0.107051075
EON5DCWD,0.99581003
J8UXTMYV,0.21415086
IXBW5HZH,0.052721813
LDHQB458,0.0559835
GNHTIKF3,0.047953106
8NO22KTE,0.02317262
SGJFSSJK,0.18296105
TD8D3NDD,0.052540287
8RQ27JGU,0.8522583
A8GKBMBO,0.83093315
ODVMNUDE,0.5031648
EA5CRL7L,0.05135291
6UI7RPCH,0.2972959
7BJYM94L,0.052405458
X3PZJF7F,0.48409018
YCSSMPV7,0.4808315
4EV9VXL8,0.4287098
IPNJFQTY,0.19156587
XPWNJRJC,0.040275052
3WHNSBRB,0.17808843
U245YKM8,0.052418046
68EFFKBB,0.8461355
NEUII7AB,0.98228455
F7CSLYWT,0.051394496
5EOMOZHG,0.15470456
6CYUTUFN,0.3389073
K7YUC8LF,0.25970578
LSMCXMXA,0.051611498
AALPBPBP,0.054701313
ZPX6VOH2,0.071080245
CDBFWQGM,0.10643087
JUQ76NJV,0.8471748
QHE7UULR,0.05176834
JRMNMZJA,0.048897576
GZ4EZZFX,0.14777195
9L9JFIAR,0.5500349
GTOE4RN4,0.15045215
CUYE7ST4,0.30488962
FFM6DHEA,0.8379618
5XUK7XLZ,0.4850559
4HTGJEEZ,0.052346915
RWYBAMRG,0.13414483
RQZGBGGN,0.84776384
ITVSUTU9,0.25050688
6UMDX7NQ,0.44623363
4IVKAFYY,0.51325256
ZKYOSQEU,0.50865006
9JYXIDL4,0.9947867
XNURWQBT,0.05268893
HVNIJFQC,0.052233204
CGGVBJKZ,0.9918039
JO9DV3NY,0.8497139
EYENUQR9,0.36200705
FPU4ZI8H,0.0666802
2MALVTY4,0.09408075
QN4REV7D,0.05307557
27F5ZEQA,0.07226059
MKJUE4K2,0.08663407
4ECWF4DN,0.05170256
KWBJAQMY,0.050353684
3YAW8OEY,0.11799765
ZHHFH7H9,0.8700008
BO2822VM,0.13229345
NQZUPVUA,0.043115035
MUT2PZ7T,0.41081893
2MFKPCPS,0.8443539
4RLVOVMJ,0.6048586
JISGN7XF,0.055904888
NNOFHDAC,0.052029744
ODE23CPW,0.021952186
ZNTYNFME,0.22696495
NQM48VKU,0.10767923
DGVBCYY7,0.051204067
9F38NUKC,0.17409033
3Z7KCIZS,0.045624472
ERAX3STD,0.049188368
N9TCDYYG,0.05105348
R4UMWUZK,0.065311015
CPERTJBJ,0.10631236
4XK5BMA9,0.044000898
2PKDM5B2,0.048641704
SW5GTHZN,0.40165377
ATJAEQCJ,0.094037525
NHNXBSFY,0.15623024
NRGYTYZJ,0.045375936
UZNABWAT,0.051825717
CVP3VZN5,0.061029557
JEAYZXKC,0.051741444
87LFEVTZ,0.317609
N7ZEJ2CQ,0.05211726
AQT3ADAP,0.05573971
WC8ROKF8,0.051974684
D9HWEXEV,0.083447196
MMHWGZCN,0.05232129
YKCAQFHU,0.23700866
NDPFBA9X,0.39919287
3T6C7AEA,0.19627595
GZWB38J9,0.04471386
OFTXYNYQ,0.052387822
QYZQIXBJ,0.4742978
N7PJT5HO,0.05670808
JP2PNX9X,0.19314298
N3FUZDIH,0.051956724
UXKAVBLS,0.022343203
G24JWDKS,0.045713745
HQOKKQVX,0.15921411
HTXFVZZG,0.056386143
3TJKVA4J,0.050471302
CRGS7FPX,0.042836916
BTRJTMR3,0.10584423
ERLPQML7,0.022464702
9FDFXYAW,0.4727916
MEEKFDZZ,0.052401297
ZGY8ETLW,0.22005183
AXVUJHT9,0.043691203
35ILRW7D,0.47469097
DR2U5JQX,0.06358397
WHZ7CEY6,0.2787768
UCPMS2KF,0.052309252
HB6MJHDN,0.26023054
7NWFPJ2X,0.11843522
4QXD6K4K,0.18138911
D6H3RTAZ,0.11212882
L67WSXUY,0.082577094
IXHVY78L,0.07301078
H6KE88O6,0.3563938
EAPKN7G8,0.997489
GQXJSFJE,0.17249408
BVHSRABV,0.058466494
DUY76GFX,0.13228373
O7H9KPSD,0.40318963
6EDBA5AN,0.07506721
V24CAXFM,0.06157217
SERPSAWP,0.026857227
H47QYY5K,0.056957774
5TYQNFPE,0.36329046
HGDB7KMR,0.48129153
DWH8Q2S3,0.22093499
USNBQZAK,0.053346
I89VR4AB,0.0636516
ATZVVXWJ,0.48276275
HOKP6ZTS,0.061134152
ZDKT2SSW,0.054975837
DK5HJYQE,0.0449108
ABKW7FGW,0.10250282
BCSW3W7T,0.051706254
6T4VNEWD,0.5708806
XBALBNYB,0.33442423
NWMJR3W5,0.0518893
Q5BJ4ULE,0.052354798
DOFSPEWD,0.83663577
ANX8FUBJ,0.051711768
KPR67SVO,0.022369312
44EV7IJE,0.052272774
VZEK4IOK,0.4724282
CZMKWRQN,0.052416816
VGQUQLXT,0.16067374
MS6GASNJ,0.03611184
4ENG9TKV,0.83697516
UHRRWLGR,0.059005506
APFSHZYP,0.052213997
M7MURWXC,0.46537745
3EOATQBT,0.053405646
MDZG7EZX,0.05195621
QZ6LSSTB,0.057132445
Y7EEZYYS,0.86615634
RYKLU6HL,0.05171779
CWQ8OAQ8,0.055124514
WSFUNE28,0.8437538
9PFQKPRB,0.051777713
MCLXWKBC,0.050311483
NWDXDZEN,0.30906853
EBLDBRDR,0.16740309
CJRW5JYT,0.25936237
CMMKRNUZ,0.17655586
EATPTPY3,0.05227774
J5AGUF6Q,0.06311953
8WYO2BBG,0.33598116
9EPXIMZB,0.047547236
UZERUG9W,0.08189165
QEQ79QUC,0.06326898
ZNHVE7QZ,0.1090531
PU3J43GY,0.8423693
HWDBXAUK,0.051545672
W74BHIAD,0.06925084
MGLDAPOA,0.052237656
BYFCPDX5,0.091444254
S2QDUDEJ,0.9908359
HBYRWBWL,0.021563519
8CIAWHWZ,0.8458456
ZFYFFXT5,0.092629865
UGIADHRB,0.1815054
JDDGRBSU,0.23981127
NBS2LTYW,0.32291546
DBKM3FRW,0.13663763
GLBHRXKB,0.051436465
9WDPTNCN,0.022282131
NVVVFQ9U,0.84722763
6AT635HW,0.110114016
HPHDI6NN,0.049420625
CPNAGJ95,0.05122567
FY6AFNCK,0.99102753
KWQAVZOE,0.8627212
HGBDE3LM,0.45971042
SYKEB6EV,0.056575395
9BROJWWS,0.41920975
CG8DGVAV,0.2140383
H7MT8CNK,0.05936201
GJVVWNKN,0.837257
FXWTMJDG,0.09538387
OSNGFACM,0.06660098
PBFT55CF,0.99005854
4P8GFHSL,0.044276863
9ZZ4F4XF,0.4554783
CN4YERMU,0.83735883
8TUDLTWK,0.14486286
USFZPY7Z,0.022719821
VBJXREA8,0.04374692
9LBNXHQ2,0.13708588
PY6HCDWF,0.052262798
9VJMJR6X,0.060750242
4GAEJIQO,0.04529001
F34SD6YQ,0.06031265
HZ3BZVH6,0.14129741
9WVBAWEY,0.20496674
BPNYRSEH,0.05243978
7OGHEHO3,0.17308418
LRJZMHFT,0.05239877
PCHQW72T,0.4619998
BFJQGRFT,0.39493686
UVJ6UYBF,0.093939915
LRVO7MCH,0.19997767
EAOF4EYO,0.8118054
5HPCBEQQ,0.8586242
8FJBKABE,0.0527538
27J5UDAU,0.04558882
4MAT9RSM,0.86502665
SBDGZSY9,0.8460393
HPYN9M2Z,0.054446295
G7D2BESM,0.8249836
TWN7YQPN,0.05319194
BJRGMNFZ,0.15252928
9HFPJV3S,0.068575114
6WKJAUAG,0.051258706
BZUANVCU,0.19389443
NYWLDSFZ,0.8558829
LTW8JGAZ,0.05309542
IMDQJUTW,0.057838567
AVHZRCH8,0.24472073
LTSDWAVT,0.051655456
9WVKLADB,0.4738934
GXDSQJS2,0.045784917
4IHXKUNA,0.3880775
BTYDUQPC,0.051850863
BKCNFM72,0.10773333
UMVSSZ9N,0.06424829
N2STVKOI,0.05243496
ZZJQB3EY,0.5089428
FZJK9GH7,0.06715653
NTIWWNVB,0.05313092
NBCRWUBE,0.18117958
UBPYOBYG,0.07796048
K8RKMGVW,0.6323141
HFTH3NC2,0.044782277
759LCPDE,0.17189127
DYKME2AY,0.8351827
VZHURNZD,0.020579478
EAJJBYHU,0.33913115
T97TKZNT,0.48447096
IXOEQ2YD,0.9848505
BWKXTBCF,0.056486852
DNKPRVB3,0.25572094
JQCF2PXG,0.052380867
GIABLCP4,0.052276876
FDIC7S35,0.5879358
5RTNFJEV,0.023786042
OBZ4CU77,0.057601087
XMVX6WEB,0.12989329
MHARJGPA,0.053015128
2QI5GPDU,0.49724245
AE2NBAJ3,0.021584151
MDLANJZG,0.022093156
7TAP99MA,0.19648197
A6AMKR2Z,0.22809653
DX69CFXV,0.069496445
HKCKEKV4,0.2404739
CBNWXPJJ,0.30118582
Z3SJXFCA,0.08825831
RHTCABWR,0.8466054
ILGMVREG,0.2592988
BZK32SSP,0.05182244
25RR4UGE,0.051678427
9ZQFVNWY,0.09766326
FFSTFCAA,0.084419355
MBEDAX9Z,0.074822985
IYERPTUY,0.10203192
SBNMNBJE,0.021992352
CPWDDHBP,0.4048287
EN5EXSVB,0.0429625
EFT7687S,0.06519951
DUPIVFIW,0.052541938
HTVBHNFH,0.051807173
GFTV6AXH,0.051978584
NTNK2ZYN,0.052372117
NZ2MDLPM,0.1951525
UU4ECFQ5,0.8590202
FFWGNGVJ,0.0523932
JDQIBLRI,0.05274673
ZAWUVVWA,0.052180212
FC24V4XD,0.19230017
EKTZZYA2,0.07191113
RVRMHDD8,0.05073887
3RASGR5Y,0.17455523
QRBESHHG,0.05185378
MXYLFHSV,0.06630188
TY85POPR,0.08711285
BHXO9INE,0.05243863
S2RKLYZH,0.4630674
98GUQS9R,0.4619798
6VD8FK4Y,0.053547088
FMUHBZHQ,0.051987413
IHQY3US8,0.84297776
VDSNW6DR,0.08458096
JF8E8TCY,0.16266716
EKVBDN5B,0.14461753
LJOYHFHT,0.05520342
8WBDXKKG,0.451661
LNAASJ6O,0.052836124
HGTW39J8,0.07529275
AMYH3YSJ,0.10638432
QZRPEWE6,0.052241642
9RBSJHBJ,0.31157604
EFZ3ADG9,0.052369587
CMQX6K9J,0.18451095
DBVXEJCR,0.05223772
PLYKWBFR,0.051586006
7QNURUDE,0.05461476
M8TD2YPV,0.2642718
JVJZVKUJ,0.8390114
XVUVCSM8,0.47757712
C9CMNJEH,0.17743754
IQLV6HTY,0.08626455
ELG7YZUM,0.051869184
PU9KWVOH,0.5141839
HAYJGRRV,0.05208819
KBKUHSLA,0.07998661
USL6KBDY,0.04742228
ZGLCSKTI,0.06783773
9JQWNRGA,0.10878711
EBVUVT88,0.054038055
9ZU5GNSK,0.18299916
EC7NIRSV,0.053146604
JJ23TDTX,0.07627116
IZWY5RYD,0.090464845
TSYCNH93,0.05312479
QSY6Q77W,0.20656376
TOBSGQ3J,0.21671203
FKGE6YRE,0.4516455
MGAYPPJE,0.052065045
IJRFUH6V,0.15596147
KX9Y3LCV,0.05192309
2ZDDJYHE,0.8416899
NBMLMYQE,0.055485472
E8XWCECR,0.19951862
5FP4HKBU,0.11175732
FUKFFD3F,0.26698393
8BDSMQUY,0.04534635
39T7KUFC,0.055940546
HZSPWI2U,0.47997686
LEJJKOWC,0.051338017
DR5F2HVS,0.84373623
BJA5TRWJ,0.34271705
NCVH9WFE,0.09586366
ME3XYUC5,0.83417916
VLCHSDHG,0.06296761
59CV3HQQ,0.14915708
JTAEBBQM,0.045942366
OBHDYLE2,0.19654405
EUEGA65T,0.051250152
MO9XWHWE,0.13011225
K3JSVGHE,0.05335261
JFHAQZQM,0.058200907
22IQJE4I,0.83845234
F57YH86H,0.060586207
BPNYWIPI,0.053337753
FJB78783,0.09627531
DIVE6ZUL,0.068949185
YACVPC9M,0.28828883
A3FM9UVE,0.051935904
9NE6ZC2Q,0.096238516
4NHTDBJN,0.08987391
3FH863BT,0.02134029
3UBBVIGN,0.35944098
NNP9TLV2,0.4130265
SA7VUUTE,0.046023462
ROG7ONJG,0.45555028
ICEBXJHF,0.096682206
HFTYHFAZ,0.059719667
EC5IQBEK,0.05214268
VQPXGNJV,0.044872522
BNE8WOYV,0.847199
MKEXSYJN,0.056177296
B2MY2KQE,0.1293226
GZVND3WE,0.39969194
JZ8ASRBZ,0.99458927
UMQWVVHH,0.84460837
MDGISGP7,0.046636254
JMVHKVGP,0.044524744
G5GPWASE,0.49035275
A9H3PMBD,0.05296907
DKEMLQCU,0.8406975
VVPNRFRF,0.8590632
AVIBMJNL,0.20538561
3FNEIWTQ,0.05194619
WMQIVFIH,0.07766812
GUSEEXX5,0.27271378
HZBZ7QMH,0.05222484
KMTZWEXS,0.02665222
62AXBXBL,0.08972955
FW6GESXM,0.042669576
A67RATVB,0.05256327
HUWJHKEG,0.05233065
KCHF33KH,0.17412594
CJUKTB4B,0.07062053
FA8NWHGK,0.06978589
6UZE4NSH,0.8340386
4UUZBMXW,0.1690579
QMRXRYDB,0.041982494
M3A5BVAC,0.99557626
II63YKTB,0.06746794
4OYB27TY,0.2366223
IEN9X6H8,0.102062464
U9VVATUM,0.22187765
SFOYCMRR,0.51761365
O7WYJHA5,0.2821992
STEKRYHT,0.021297717
QSX9J6OF,0.28597108
EVT46GYN,0.043365613
IQHUPR8Z,0.06765711
98WUTF8M,0.022105439
5JUSHPUM,0.052033752
9FMK8FZU,0.051603515
WPWW4JUN,0.5593044
8QUXAAHS,0.099785715
EU8RGIP7,0.05856727
BFT7ZJQO,0.05139601
4EQAO8W3,0.8643547
F3RWQSVQ,0.2141908
FUA3S84W,0.05156724
G9WITTNH,0.05646748
TE4CM6N8,0.9970486
L93TY7Q6,0.025036208
MK46HOFS,0.24414216
NSUSAJ7C,0.036018483
ZQXJP6PH,0.12277895
YX6PNVKN,0.05288937
7V7IJDSU,0.26463276
BSDHE7F2,0.32125014
DV5EXZEZ,0.8023507
VDKS85PW,0.37929124
4W48SFHV,0.4507498
ANGVCUXZ,0.052088603
IOST7D8C,0.53103805
HAQAECZX,0.03651537
GAB49KQU,0.8355895
GEBCXWCU,0.076566726
JPT2DAGQ,0.5002295
RXYEGKFP,0.5711187
4R6HCRNW,0.052557707
MWRTSE9B,0.056052715
JAC7FJCA,0.4463936
5DCT43QX,0.02440868
GFZMAKDD,0.052755576
8WVWSZNF,0.058054045
KCBVOKZ8,0.842849
NRCEX3F3,0.05402278
59KYREQZ,0.055940308
S2HTHOYG,0.052089896
98QJA4ZA,0.052413996
8S27HJRE,0.21522442
MTEWWARX,0.04913774
PH8LQUCB,0.17248708
BYB9URVZ,0.7097229
3TYYHEQU,0.06561173
WTOPV47E,0.8389061
HGNGPJXH,0.34365243
LE5M9QWH,0.053770587
7YR3Z54H,0.07805485
9DLYZCUW,0.86445695
RKYQQQL5,0.23921648
5UTFCCXZ,0.29634437
JCYRCTNE,0.81783515
AJIVJ4WE,0.22055602
JTCERL4D,0.07269935
XWS2DC9M,0.052229844
TVIX5INS,0.8436218
CIQZ4NJS,0.097093716
EJRPJ86R,0.052040964
HPQBQGWQ,0.05200468
FR38HJFG,0.84687173
JPXNNMXQ,0.49355835
HWED8UBF,0.8371166
CJ6ILARS,0.041891746
MBCCSXEA,0.055727098
4S84NTNM,0.057328887
ADGV3FDY,0.1791793
HSAJUCOR,0.4645872
HHV3JEXF,0.045441847
DHARALYV,0.071851656
KBVN65GH,0.05684223
UYHCQN7W,0.06533396
9VXSCU6F,0.06255955
F2DBEMXE,0.25900182
6VN358PX,0.074204616
T2J5Y8NB,0.022087704
HPXJGYEZ,0.995224
CS5NAYPP,0.46779203
2UC6R5XE,0.8411116
KZ8TKYP4,0.052721426
Y8XIC3AH,0.21784233
GCT9PSGP,0.052855305
MPQQFX4I,0.06508955
8VCZYPZD,0.051879272
JCIQPZLE,0.05212858
AYSUMKSF,0.10441819
VVAVU9BN,0.28468302
F3NBRACB,0.052399587
FPIGVTHX,0.06876152
X7XNXJVW,0.052107643
JEKWRXYH,0.4812272
MNGYZO5U,0.05867909
FXPCJ7GE,0.859592
BUXRB7CD,0.07284443
JV4MCTHN,0.05082997
JUFQ5PVJ,0.4231947
ENLVSM6O,0.19183125
CJHC43KV,0.31852722
N4NSCGHE,0.42425942
FUVHQRWB,0.051890813
GTQHBCF7,0.38629073
DSB6DIRV,0.10498202
BVUKQQRV,0.041504215
KZCHX6LW,0.81923044
M5XAM7HE,0.052489854
YODUTYZU,0.8496481
JEREISWR,0.37512454
FTHIZFGT,0.20202272
7TCFIDRX,0.042292826
V8CRCBLR,0.052016895
XEDZWKEX,0.47486347
RAD4GZKE,0.052327186
FY8NXMD2,0.02473731
KVZXQCUM,0.36068356
JXRP92WY,0.039383143
IYA3LI6E,0.09677937
FXEUAUMU,0.22230788
KXVZ3BNR,0.025889143
FTDASK8G,0.5106847
JZQZ7RWM,0.060759373
HNPMBXDN,0.056535613
3SUTYK7Z,0.05192541
EHAW2L37,0.05148254
H5HWWKTM,0.12060426
BQVSKRPN,0.053017035
EUK3CR9A,0.16895798
VRMGCTGP,0.052555487
ENDZJZGR,0.060451493
NSSYQFVN,0.059813935
7TRWUSYQ,0.9967264
7Z6JWBCW,0.056077886
7DR4UVAZ,0.17846404
H7YECJLG,0.2572218
CUNTRPMN,0.844169
VQQEMTVX,0.06710863
NWMFKQLZ,0.052676506
FIUW4SGY,0.052281715
JCVXZSJS,0.051660646
VZRUA5XP,0.45267215
923REBWY,0.054668363
3FKWHVLC,0.057515398
V8JTYKKL,0.12122616
A4MRC8NU,0.510357
CQJTCLCJ,0.45105278
L9O3NMDQ,0.05017067
7DFWCHAN,0.04736506
NK7CWSGK,0.36542723
OLLGNEK9,0.0518393
KVOLRR62,0.06488306
KAI7SJGY,0.20894359
5LYDNC27,0.124938786
LPGW9PN3,0.09028538
4WA5JPWP,0.051829327
GCDXLWAN,0.16436997
7V6GQUOD,0.2932948
ENYQCCWM,0.041695446
B3BUXXA4,0.17559199
PC7INMMF,0.18092294
6PJ9NW3X,0.38888875
DXYC8WIG,0.85770077
DPKUYNJK,0.1683364
6ZRSCJ6J,0.83951616
CPX4EYVB,0.57561874
T28RFIEL,0.050602067
D4GXBMM8,0.081109814
JMQJAZHA,0.18150438
RZSFMVB9,0.45547295
T2QWMIDV,0.38324687
GRM6UHIW,0.05210501
X2SD7FMK,0.19768511
I4SENFDI,0.051657826
YSNU9M3K,0.805287
USGXXPJH,0.48712528
QPQZPSMH,0.071730405
QPZDTV5V,0.05211345
H28ZERNP,0.98945576
UNWHQWCY,0.095215306
7N8BRMDU,0.059308734
DFMGCWHV,0.08987737
8FP6ENF4,0.43478036
FAO6XGQE,0.057905037
X5FCJHQ5,0.046160534
GGFPEVFR,0.088101126
AP9SCCXC,0.12694108
WONWP8QB,0.05264394
CWEKUQ4P,0.84177303
C5CGJVQZ,0.83764696
HO4YRWYD,0.047171965
HLIYGGYA,0.05189626
QKAJK2VB,0.45300543
ZEZT2RND,0.050913293
